Mes.Base,Ano.Exec,Veiculo,CO.Cliente,CO.Fabrica,rota,cod_rota,Qtd.Transp,Vlr.Frete,km_api,custo/km,custo/unid,qtd_max_veiculo,num_viagens,qtd_max_transp,taxa_ocupacao
1,2023,P24,2335,3423909,ITU - SANTANA DE PARNAIBA,3423909-2335,72000,3501.09,84.402,1.7283802516528046,0.054005833333333336,3600.0,24.0,86400.0,0.8333333333333334
1,2023,P24,2335,3424402,JACAREI - SANTANA DE PARNAIBA,3424402-2335,85800,9489.06,108.16600000000001,3.1331009744281935,0.11391413690476192,3600.0,28.0,100800.0,0.8511904761904762
1,2023,P24,2337,3423909,ITU - SAO CARLOS,3423909-2337,97800,15167.39,167.068,2.670168469619274,0.16069264705882352,3600.0,34.0,122400.0,0.7990196078431373
1,2023,P24,2337,3424402,JACAREI - SAO CARLOS,3424402-2337,80400,15401.460000000001,281.319,2.1056659740502637,0.20236666666666667,3600.0,26.0,93600.0,0.8589743589743589
1,2023,P24,2339,3403208,ARARAQUARA - TAUBATE,3403208-2339,124200,0.0,374.642,0.0,0.0,3600.0,41.0,147600.0,0.8414634146341463
1,2023,P24,2339,3423909,ITU - TAUBATE,3423909-2339,99600,0.0,230.919,0.0,0.0,3600.0,35.0,126000.0,0.7904761904761904
1,2023,P24,2342,3403208,ARARAQUARA - CACAPAVA,3403208-2342,62400,19575.44,353.273,2.638650022854306,0.3174243386243386,3600.0,21.0,75600.0,0.8253968253968254
1,2023,P24,2342,3423909,ITU - CACAPAVA,3423909-2342,113400,20423.93,209.55,2.5648859084002056,0.1722584064327485,3600.0,38.0,136800.0,0.8289473684210527
1,2023,P24,2346,3403208,ARARAQUARA - SOROCABA,3403208-2346,96000,0.0,238.558,0.0,0.0,3600.0,32.0,115200.0,0.8333333333333334
1,2023,P24,2346,3424402,JACAREI - SOROCABA,3424402-2346,129600,0.0,174.688,0.0,0.0,3600.0,43.0,154800.0,0.8372093023255814
1,2023,P24,2347,3403208,ARARAQUARA - RIBEIRAO PRETO,3403208-2347,73800,4533.97,85.682,2.0352403251378535,0.06640410256410258,3600.0,26.0,93600.0,0.7884615384615384
1,2023,P24,2347,3423909,ITU - RIBEIRAO PRETO,3423909-2347,117000,29291.06,263.19,2.853652572334893,0.25463874643874645,3600.0,39.0,140400.0,0.8333333333333334
1,2023,P24,2347,3424402,JACAREI - RIBEIRAO PRETO,3424402-2347,71400,12929.859999999999,357.81199999999995,1.5711262508997923,0.1776524154589372,3600.0,23.0,82800.0,0.8623188405797102
1,2023,P24,2349,3403208,ARARAQUARA - RIBEIRAO PRETO,3403208-2349,117000,0.0,90.218,0.0,0.0,3600.0,39.0,140400.0,0.8333333333333334
1,2023,P24,2349,3423909,ITU - RIBEIRAO PRETO,3423909-2349,112200,0.0,267.641,0.0,0.0,3600.0,36.0,129600.0,0.8657407407407407
1,2023,P24,2349,3424402,JACAREI - RIBEIRAO PRETO,3424402-2349,115800,0.0,362.263,0.0,0.0,3600.0,39.0,140400.0,0.8247863247863247
1,2023,P24,2351,3403208,ARARAQUARA - BAURU,3403208-2351,105600,0.0,124.483,0.0,0.0,3600.0,36.0,129600.0,0.8148148148148148
1,2023,P24,2351,3423909,ITU - BAURU,3423909-2351,115200,0.0,250.23299999999998,0.0,0.0,3600.0,38.0,136800.0,0.8421052631578947
1,2023,P24,2351,3424402,JACAREI - BAURU,3424402-2351,86400,0.0,403.21099999999996,0.0,0.0,3600.0,28.0,100800.0,0.8571428571428571
10,2023,P12,2301,3403208,ARARAQUARA - VALINHOS,3403208-2301,125700,0.0,193.55,0.0,0.0,1800.0,78.0,140400.0,0.8952991452991453
10,2023,P12,2301,3424402,JACAREI - VALINHOS,3424402-2301,422400,123499.47,145.62,3.2246925823396797,0.29266783692437687,1800.0,263.0,473400.0,0.8922686945500634
10,2023,P12,2302,3403208,ARARAQUARA - CAMPINAS,3403208-2302,131700,945.31,182.669,0.06388874865007468,0.007780329218106995,1800.0,81.0,145800.0,0.9032921810699589
10,2023,P12,2302,3424402,JACAREI - CAMPINAS,3424402-2302,237600,46353.83,141.311,2.216398964369752,0.19781387387387386,1800.0,148.0,266400.0,0.8918918918918919
10,2023,P12,2303,3403208,ARARAQUARA - CAMPINAS,3403208-2303,138600,0.0,187.278,0.0,0.0,1800.0,87.0,156600.0,0.8850574712643678
10,2023,P12,2303,3424402,JACAREI - CAMPINAS,3424402-2303,258900,49891.04,141.46,2.177077496932344,0.19162019204389574,1800.0,162.0,291600.0,0.8878600823045267
10,2023,P12,2304,3403208,ARARAQUARA - CAMPINAS,3403208-2304,108300,57524.22,178.496,4.81002626255599,0.5311787064676617,1800.0,67.0,120600.0,0.8980099502487562
10,2023,P12,2304,3424402,JACAREI - CAMPINAS,3424402-2304,152100,70085.42,146.051,5.051257869907737,0.4619398830409357,1800.0,95.0,171000.0,0.8894736842105263
10,2023,P12,2305,3403208,ARARAQUARA - CAMPINAS,3403208-2305,127500,69564.2,180.193,4.8867574970775,0.5447746272855134,1800.0,79.0,142200.0,0.8966244725738397
10,2023,P12,2305,3423909,ITU - CAMPINAS,3423909-2305,124800,30507.73,71.375,5.410491032831586,0.24522164556962023,1800.0,79.0,142200.0,0.8776371308016878
10,2023,P12,2305,3424402,JACAREI - CAMPINAS,3424402-2305,246900,113150.64,147.748,4.909200905491888,0.46113014957264953,1800.0,156.0,280800.0,0.8792735042735043
10,2023,P12,2306,3403208,ARARAQUARA - VALINHOS,3403208-2306,159900,97031.51,194.211,4.996190226094299,0.6087174444444444,1800.0,100.0,180000.0,0.8883333333333333
10,2023,P12,2306,3424402,JACAREI - VALINHOS,3424402-2306,120600,49694.56,138.681,4.842394474427701,0.4105285285285285,1800.0,74.0,133200.0,0.9054054054054054
10,2023,P12,2307,3403208,ARARAQUARA - CAMPINAS,3403208-2307,117600,0.0,183.626,0.0,0.0,1800.0,74.0,133200.0,0.8828828828828829
10,2023,P12,2307,3424402,JACAREI - CAMPINAS,3424402-2307,376500,128467.96,146.178,3.739770486754272,0.34153739952718676,1800.0,235.0,423000.0,0.8900709219858156
10,2023,P12,2308,3403208,ARARAQUARA - CAMPINAS,3403208-2308,134100,80037.48,195.864,4.9233498139107095,0.598332998661312,1800.0,83.0,149400.0,0.8975903614457831
10,2023,P12,2308,3423909,ITU - CAMPINAS,3423909-2308,136200,31473.26,72.623,5.0392869963356475,0.23167673126614988,1800.0,86.0,154800.0,0.8798449612403101
10,2023,P12,2308,3424402,JACAREI - CAMPINAS,3424402-2308,112800,46773.64,137.757,4.85053287413966,0.41377434920634915,1800.0,70.0,126000.0,0.8952380952380953
10,2023,P12,2309,3403208,ARARAQUARA - AMERICANA,3403208-2309,140700,67723.44,150.529,5.171298187243562,0.48254533844189024,1800.0,87.0,156600.0,0.8984674329501916
10,2023,P12,2309,3423909,ITU - AMERICANA,3423909-2309,118500,30736.989999999998,85.088,4.816502131126991,0.2593414962962963,1800.0,75.0,135000.0,0.8777777777777778
10,2023,P12,2309,3424402,JACAREI - AMERICANA,3424402-2309,495600,275732.74,175.727,5.077984398534628,0.5566082632146709,1800.0,309.0,556200.0,0.8910463861920173
10,2023,P12,2310,3403208,ARARAQUARA - SAO PAULO,3403208-2310,138900,106888.12000000001,269.701,4.503645619677818,0.7709811237373738,1800.0,88.0,158400.0,0.8768939393939394
