CO.Cliente,CO.Fabrica,rota_fabrica_cliente,Demanda,Producao,Qtd.Transp,custo_unit_rota,km_api,Vlr.Frete_simul
2337,3423909,3423909 - 2337,827342,56000000,1440000,0.4682312323828253,167.068,674252.9746312684
2337,3424402,3424402 - 2337,827342,90000000,1381500,0.7067400879917184,281.319,976361.431560559
2338,3423909,3423909 - 2338,2539443,56000000,1224871,0.4641819670863708,164.406,568563.03020705
2338,3424402,3424402 - 2338,2539443,90000000,1383271,0.7031721745179885,278.657,972677.6770176725
2339,3403208,3403208 - 2339,1789064,90000000,19800,0.8801255555555556,374.642,17426.486
2339,3423909,3423909 - 2339,1789064,56000000,21600,0.5569885185185185,230.919,12030.952
2340,3403208,3403208 - 2340,973767,90000000,1144200,0.978755904049654,377.22100000000006,1119892.505413614
2340,3423909,3423909 - 2340,973767,56000000,2266500,0.6133746207616066,233.49800000000002,1390213.5779561815
2341,3403208,3403208 - 2341,5304924,90000000,2633712,0.9231136369268896,359.068,2431215.4629379925
2341,3423909,3423909 - 2341,5304924,56000000,2734812,0.5790868105413105,215.345,1583693.5585101026
2342,3403208,3403208 - 2342,838856,90000000,1457400,0.9143498419472104,353.27299999999997,1332573.4596538644
2342,3423909,3423909 - 2342,838856,56000000,1337700,0.572810011445677,209.55000000000004,766247.9523108822
2343,3403208,3403208 - 2343,8150094,90000000,3556797,0.9918260348135965,383.38699999999994,3527723.865146896
2343,3423909,3423909 - 2343,8150094,56000000,4690797,0.6132539689429012,239.66400000000002,2876649.8777554543
2344,3403208,3403208 - 2344,678417,90000000,1199700,0.6385439881299864,241.893,766061.2225595446
2344,3424402,3424402 - 2344,678417,90000000,1219800,0.479380253478178,178.023,584748.0331926815
2345,3403208,3403208 - 2345,3600095,90000000,1809047,0.6422160420841683,244.434,1161799.0042842384
2345,3424402,3424402 - 2345,3600095,90000000,1848947,0.4908883312047679,180.564,907626.507316062
2346,3403208,3403208 - 2346,3522678,90000000,15300,0.6455140625,238.558,9876.36515625
2346,3424402,3424402 - 2346,3522678,90000000,22800,0.4747480808080808,174.68799999999996,10824.256242424242
2347,3403208,3403208 - 2347,3675315,90000000,1172700,0.2829583545647558,85.682,331825.26239808917
2347,3423909,3423909 - 2347,3675315,56000000,1485300,0.6880213281878116,263.19,1021918.0787573565
2347,3424402,3424402 - 2347,3675315,90000000,1446300,0.9008485807096451,357.81199999999995,1302897.3022803597
2348,3403208,3403208 - 2348,1310374,90000000,1096500,0.2866935047619048,96.021,314359.4279714286
2348,3423909,3423909 - 2348,1310374,56000000,1212900,0.7222775664767331,273.529,876050.4603796296
2348,3424402,3424402 - 2348,1310374,90000000,1137000,0.9635818316933169,368.151,1095592.5426353014
2349,3403208,3403208 - 2349,1761137,90000000,9600,0.3022308888888889,90.218,2901.416533333333
2349,3423909,3423909 - 2349,1761137,56000000,21300,0.6136983333333333,267.641,13071.7745
2349,3424402,3424402 - 2349,1761137,90000000,6300,1.0546297222222223,362.263,6644.16725
2350,3403208,3403208 - 2350,4402893,90000000,1525631,0.35829032301845815,124.481,546618.8237969733
2350,3423909,3423909 - 2350,4402893,56000000,1520831,0.6858356904508343,251.819,1043040.1789440328
2350,3424402,3424402 - 2350,4402893,90000000,1450331,1.0180790901027077,401.8279999999999,1476551.66482775
2351,3403208,3403208 - 2351,1331761,90000000,450720,0.41775722222222217,124.483,188291.53519999998
2351,3423909,3423909 - 2351,1331761,56000000,453720,0.6378815,250.233,289419.59418
2351,3424402,3424402 - 2351,1331761,90000000,434220,1.0852333333333333,403.211,471230.018
