"CO.Cliente","CO.Fabrica","rota_fabrica_cliente","Demanda","Producao","Qtd.Transp","Vlr.Frete","custo_unit_rota","custo_min_rota","custo_max_rota","km_api"
"2328","3424402","3424402 - 2328",6145143,90000000,1351800,400296.03,0.3103678440437664,0.21905999999999998,0.44891333333333333,120.638
"2329","3403208","3403208 - 2329",13860432,90000000,7800,5800.76,0.7630083333333333,0.6589666666666667,0.8061,291.699
"2329","3423909","3423909 - 2329",13860432,56000000,1643100,498528.39,0.32755940343745543,0.1959,0.39487999999999995,115.733
"2329","3424402","3424402 - 2329",13860432,90000000,10500,2666.82,0.2733835416666667,0.186575,0.37514000000000003,113.122
"2330","3403208","3403208 - 2330",3482379,90000000,22200,16692.82,0.7639377272727272,0.6936533333333333,0.8061,303.713
"2330","3423909","3423909 - 2330",3482379,56000000,1357800,543432.61,0.4370946433030141,0.25840277777777776,0.5388266666666667,161.745
"2330","3424402","3424402 - 2330",3482379,90000000,12300,3514.2200000000003,0.29639063492063494,0.21129,0.3159,95.01200000000001
"2331","3403208","3403208 - 2331",4084642,90000000,1298700,855687.38,0.7020132844733985,0.44101111111111113,0.8061,269.467
"2331","3423909","3423909 - 2331",4084642,56000000,1167300,326197.63,0.2929580488242685,0.21518333333333334,0.4489133333333333,88.048
"2331","3424402","3424402 - 2331",4084642,90000000,2682000,702896.97,0.28348827782183456,0.16538333333333333,0.3325266666666667,100.014
"2332","3403208","3403208 - 2332",10839219,90000000,23400,15225.44,0.6880975252525252,0.4410111111111111,0.8061,264.892
"2332","3423909","3423909 - 2332",10839219,56000000,12600,4337.64,0.3462547222222222,0.30430555555555555,0.44891333333333333,94.751
"2332","3424402","3424402 - 2332",10839219,90000000,23700,6278.06,0.27118337962962963,0.21686333333333332,0.30011333333333334,91.551
"2333","3403208","3403208 - 2333",1336988,90000000,14100,8682.28,0.6753076388888889,0.4726333333333333,0.8061000000000001,285.391
"2333","3423909","3423909 - 2333",1336988,56000000,1500,897.81,0.59854,0.59854,0.59854,117.496
"2333","3424402","3424402 - 2333",1336988,90000000,9300,2585.32,0.2795912962962963,0.22999444444444447,0.3646466666666666,75.63
"2334","3403208","3403208 - 2334",1898750,90000000,1193100,769953.87,0.6901472161172161,0.44101111111111113,0.8061,257.469
"2334","3423909","3423909 - 2334",1898750,56000000,1017300,267678.8,0.272434752293578,0.21518333333333337,0.40402,86.429
"2334","3424402","3424402 - 2334",1898750,90000000,1177500,322461.11,0.29466215425531916,0.16538333333333333,0.3371833333333333,107.497
"2335","3403208","3403208 - 2335",14197671,90000000,1371900,897618.5800000001,0.6970158011145943,0.4410111111111112,0.8061000000000001,258.345
"2335","3423909","3423909 - 2335",14197671,56000000,1230900,323596.9,0.2724029859013091,0.2151833333333334,0.40402,84.402
"2335","3424402","3424402 - 2335",14197671,90000000,1354200,374355.56,0.29813156510416666,0.16538333333333333,0.35491666666666666,108.16599999999998
"2336","3423909","3423909 - 2336",1716192,56000000,820200,367914.46,0.4835801600985222,0.27132222222222224,0.5586266666666667,168.829
"2336","3424402","3424402 - 2336",1716192,90000000,785100,538157.78,0.7220055115801818,0.44101111111111113,0.8061,283.079
"2337","3423909","3423909 - 2337",827342,56000000,1440000,622255.31,0.4682312323828253,0.27132222222222224,0.5586266666666667,167.068
"2337","3424402","3424402 - 2337",827342,90000000,1381500,919874.8200000001,0.7067400879917185,0.4410111111111111,0.8061,281.319
"2338","3423909","3423909 - 2338",2539443,56000000,1037100,444662.75,0.4641819670863707,0.27132222222222224,0.5586266666666667,164.406
"2338","3424402","3424402 - 2338",2539443,90000000,1195500,790010.18,0.7031721745179885,0.44101111111111113,0.8061,278.657
"2339","3403208","3403208 - 2339",1789064,90000000,19800,16791.72,0.8801255555555556,0.5598694444444444,1.002038888888889,374.642
